gene,Group_OMIM,Group_Oliver
TNRC6A,CEG,PME
RAPGEF2,CEG,PME
YEATS2,CEG,PME
CNTN2,CEG,NA
PRDM8,CEG,PME
LMNB2,CEG,PME
ADGRV1,CEG,NA
KCNT1,CEG & DEEG,"Focal, DEE"
SYN1,CEG,"Focal, DEE"
PLPBP,CEG,DEE
SETD1A,CEG,DEE
SAMD12,CEG,PME
STARD7,CEG,PME
MARCHF6,CEG,PME
DEPDC5,CEG,"Focal, DEE, MCD"
NPRL2,CEG,"Focal, MCD"
NPRL3,CEG,"Focal, MCD"
SCN3A,CEG & DEEG,"DEE, MCD"
LGI1,CEG,Focal
GRIN2A,CEG,"Focal, DEE, MCD"
CHRNA4,CEG,Focal
CHRNB2,CEG,Focal
CHRNA2,CEG,Focal
CSTB,CEG,PME
EPM2A,CEG,PME
NHLRC1,CEG,PME
KCTD7,CEG,PME
SCARB2,CEG,PME
GOSR2,CEG,PME
KCNC1,CEG,"DEE, PME"
SEMA6B,CEG,"DEE, PME"
SLC7A6OS,CEG,PME
CERS1,CEG,PME
ALDH7A1,CEG,DEE
TBC1D24,CEG & DEEG,"Focal, DEE, PME"
HCN2,CEG,GGE
SCN1A,CEG & DEEG,"GGE, Focal, DEE"
GABRG2,CEG & DEEG,"GGE, DEE"
SCN1B,CEG & DEEG,"GGE, Focal, DEE"
HCN1,CEG & DEEG,"GGE, DEE"
STX1B,CEG,"GGE, Focal, DEE"
SLC6A1,CEG,"GGE, Focal, DEE"
PRRT2,CEG,"Focal, DEE"
SCN2A,CEG & DEEG,"GGE, Focal, DEE"
SCN8A,CEG & DEEG,"Focal, DEE, PME"
KCNQ2,CEG & DEEG,"Focal, DEE"
KCNQ3,CEG,"Focal, DEE"
GABRA1,CEG & DEEG,"GGE, DEE"
GABRB3,CEG & DEEG,DEE
RELN,CEG,"Focal, MCD"
GABRD,CEG,"GGE, DEE"
CLCN2,CEG,NA
SLC2A1,CEG,"GGE, Focal, DEE"
SLC12A5,CEG & DEEG,DEE
RORB,CEG,"GGE, DEE"
KCNMA1,CEG & SRG,DEE
HCN4,CEG,NA
MDH1,DEEG,DEE
ARX,DEEG,"DEE, MCD"
FBXO28,DEEG,"DEE, PME"
GRIN1,DEEG & SRG,"DEE, MCD"
SLC38A3,DEEG,DEE
KCNC2,DEEG,"GGE, DEE"
ATP6V0A1,DEEG & SRG,"DEE, PME"
HID1,DEEG,DEE
UFSP2,DEEG,DEE
NAPB,DEEG,DEE
MAST3,DEEG,"DEE, MCD"
PLCB1,DEEG,DEE
ST3GAL3,DEEG,DEE
GNAO1,DEEG,DEE
SZT2,DEEG,DEE
CDKL5,DEEG,DEE
NECAP1,DEEG,DEE
DOCK7,DEEG,DEE
SLC13A5,DEEG,DEE
KCNB1,DEEG,"DEE, MCD"
GRIN2B,DEEG & SRG,"DEE, MCD"
WWOX,DEEG,"DEE, MCD"
AARS1,DEEG,DEE
SLC25A22,DEEG,DEE
SIK1,DEEG,DEE
DNM1,DEEG,DEE
KCNA2,DEEG,"GGE, Focal, DEE, PME"
EEF1A2,DEEG,DEE
ITPA,DEEG,DEE
ALG13,DEEG,DEE
FRRS1L,DEEG,DEE
ARV1,DEEG,DEE
SLC25A12,DEEG,DEE
STXBP1,DEEG,DEE
SLC1A2,DEEG,DEE
CACNA1A,DEEG,"GGE, DEE, PME"
UBA5,DEEG,DEE
GABRB1,DEEG,DEE
