Gene (SFARI),Gene (CZI)
GABRA4,KCNA1
GRIK2,PTCH1
GRIN2A,PNPO
SCN2A,PRRT2
UNC80,KCNT1
SCN1A,KCND2
TRPC6,KCNH5
GLRA2,KCNJ10
IL1RAPL1,SCN1A
PTPRC,ALDH7A1
SCN8A,SCN3A
CACNA1C,KCNQ3
CACNA1D,CACNA1H
SLCO1B3,CLCN2
ADCY3,GLIALCAM
KCNC1,KCNC3
SLC9A6,KCND3
GRIN2B,DCX
SLC9A9,CNGA3
DIP2A,CNGB3
KCND3,CACNA1F
STX1A,BEST1
PTPRB,RYR1
DPP6,TRPV4
SLC7A3,SLC2A1
KIRREL3,GABRA6
KCNQ3,GABRB3
GABRG3,CASR
GABRB3,ADRA2B
NRXN1,CHRNA1
ATP1A1,CHRNB1
CACNA1I,CHRND
LRP2,CHRNE
CACNA1E,TRPM1
SCN4A,KCNQ4
ATP6V0A2,CACNB4
CNTNAP2,GLRA1
LRBA,MCOLN1
NLGN1,GLRB
GPR85,CHRNG
NLGN3,CHRNA4
GRIN1,GPR98
NLGN2,CHRNA2
SLC6A3,CNGB1
KCNQ2,CNGA1
NEO1,CDK5
ATP2B2,KATNB1
ATP1A3,NDE1
CACNA2D1,SPATA5
CACNA1G,WDR73
GRID2,CASK
RELN,STAMBP
SCN9A,IER3IP1
SLC7A7,PNKP
SLC6A4,PPP1R15B
SLC7A5,TRMT10A
KCNJ10,RTTN
CACNA1F,KIF11
NLGN4X,MED17
CACNA1B,ANKLE2
SLC6A8,ASPM
MEGF10,CENPE
MET,CENPJ
CACNA2D3,MFSD2A
SLC6A1,SASS6
NTRK2,WDR62
GRIK3,QARS
SLC29A4,DIAPH1
SLC27A4,HERC1
SLC24A2,STRADA
KCNK7,SYN1
ATP10A,SNIP1
GRIK4,GAL
CACNA1H,LGI1
GPR37,KCNC1
GRIK5,CERS1
CHRM3,CSTB
DAGLA,EPM2A
KCNMA1,GOSR2
GRIA1,KCTD7
SLC12A5,LMNB2
CACNB2,NHLRC1
GRID1,PRDM8
KCND2,PRICKLE1
KCNB1,SCARB2
