"","GTR","Name","Gene","...4","...5"
"1","GTR000593088.3","Mayo","ABAT (16p13.2)","Epilepsy","Germline"
"2","GTR000593088.3","Mayo","ACO2 (22q13.2)","Epilepsy","Germline"
"3","GTR000593088.3","Mayo","ACY1 (3p21.2)","Epilepsy","Germline"
"4","GTR000593088.3","Mayo","ADARB1 (21q22.3)","Epilepsy","Germline"
"5","GTR000593088.3","Mayo","ADGRG1 (16q21)","Epilepsy","Germline"
"6","GTR000593088.3","Mayo","ADSL (22q13.1)","Epilepsy","Germline"
"7","GTR000593088.3","Mayo","AFG2A (4q28.1)","Epilepsy","Germline"
"8","GTR000593088.3","Mayo","AFG3L2 (18p11.21)","Epilepsy","Germline"
"9","GTR000593088.3","Mayo","AIFM1 (Xq26.1)","Epilepsy","Germline"
"10","GTR000593088.3","Mayo","AKT2 (19q13.2)","Epilepsy","Germline"
"11","GTR000593088.3","Mayo","ALDH3A2 (17p11.2)","Epilepsy","Germline"
"12","GTR000593088.3","Mayo","ALDH5A1 (6p22.3)","Epilepsy","Germline"
"13","GTR000593088.3","Mayo","ALDH7A1 (5q23.2)","Epilepsy","Germline"
"14","GTR000593088.3","Mayo","ALG13 (Xq23)","Epilepsy","Germline"
"15","GTR000593088.3","Mayo","AMT (3p21.31)","Epilepsy","Germline"
"16","GTR000593088.3","Mayo","AP2M1 (3q27.1)","Epilepsy","Germline"
"17","GTR000593088.3","Mayo","ARFGEF2 (20q13.13)","Epilepsy","Germline"
"18","GTR000593088.3","Mayo","ARHGEF9 (Xq11.1)","Epilepsy","Germline"
"19","GTR000593088.3","Mayo","ARX (Xp21.3)","Epilepsy","Germline"
"20","GTR000593088.3","Mayo","ASAH1 (8p22)","Epilepsy","Germline"
"21","GTR000593088.3","Mayo","ASNS (7q21.3)","Epilepsy","Germline"
"22","GTR000593088.3","Mayo","ATN1 (12p13.31)","Epilepsy","Germline"
"23","GTR000593088.3","Mayo","ATP1A2 (1q23.2)","Epilepsy","Germline"
"24","GTR000593088.3","Mayo","ATP1A3 (19q13.2)","Epilepsy","Germline"
"25","GTR000593088.3","Mayo","ATRX (Xq21.1)","Epilepsy","Germline"
"26","GTR000593088.3","Mayo","BCKDK (16p11.2)","Epilepsy","Germline"
"27","GTR000593088.3","Mayo","BCS1L (2q35)","Epilepsy","Germline"
"28","GTR000593088.3","Mayo","BOLA3 (2p13.1)","Epilepsy","Germline"
"29","GTR000593088.3","Mayo","BRAT1 (7p22.3)","Epilepsy","Germline"
"30","GTR000593088.3","Mayo","C12orf57 (12p13.31)","Epilepsy","Germline"
"31","GTR000593088.3","Mayo","CACNA1A (19p13.13)","Epilepsy","Germline"
"32","GTR000593088.3","Mayo","CACNA1E (1q25.3)","Epilepsy","Germline"
"33","GTR000593088.3","Mayo","CACNA2D2 (3p21.31)","Epilepsy","Germline"
"34","GTR000593088.3","Mayo","CAD (2p23.3)","Epilepsy","Germline"
